Generation,Num_of_evaluations,Objective_value_fitness_best_i,Random_Seed,Algorithm,Best_Solution
0,8,4.457420336882947,23520116,CEM,"[ 1.25773649, -1.69573561]"
1,16,4.457420336882947,23520116,CEM,"[ 1.25773649, -1.69573561]"
2,24,4.457420336882947,23520116,CEM,"[ 1.25773649, -1.69573561]"
3,32,0.1191287522075792,23520116,CEM,"[-0.3392778 , -0.06339816]"
4,40,0.1191287522075792,23520116,CEM,"[-0.3392778 , -0.06339816]"
5,48,0.11424320035668327,23520116,CEM,"[-0.3370435 ,  0.02539451]"
6,56,0.005522019175955176,23520116,CEM,"[ 0.01216635, -0.07330757]"
7,64,0.005522019175955176,23520116,CEM,"[ 0.01216635, -0.07330757]"
8,72,0.005522019175955176,23520116,CEM,"[ 0.01216635, -0.07330757]"
9,80,0.005522019175955176,23520116,CEM,"[ 0.01216635, -0.07330757]"
10,88,0.005522019175955176,23520116,CEM,"[ 0.01216635, -0.07330757]"
11,96,0.005522019175955176,23520116,CEM,"[ 0.01216635, -0.07330757]"
12,104,0.005522019175955176,23520116,CEM,"[ 0.01216635, -0.07330757]"
13,112,0.005522019175955176,23520116,CEM,"[ 0.01216635, -0.07330757]"
14,120,0.005522019175955176,23520116,CEM,"[ 0.01216635, -0.07330757]"
15,128,0.005522019175955176,23520116,CEM,"[ 0.01216635, -0.07330757]"
16,136,0.005522019175955176,23520116,CEM,"[ 0.01216635, -0.07330757]"
17,144,0.005522019175955176,23520116,CEM,"[ 0.01216635, -0.07330757]"
18,152,0.004869610916251017,23520116,CEM,"[ 0.06667299, -0.02059911]"
19,160,0.004869610916251017,23520116,CEM,"[ 0.06667299, -0.02059911]"
20,168,0.004869610916251017,23520116,CEM,"[ 0.06667299, -0.02059911]"
21,176,0.0023238673152178456,23520116,CEM,"[0.02018428, 0.04377742]"
22,184,0.0023238673152178456,23520116,CEM,"[0.02018428, 0.04377742]"
23,192,0.0011564953902749918,23520116,CEM,"[-0.0101994 , -0.03244176]"
24,200,0.0011564953902749918,23520116,CEM,"[-0.0101994 , -0.03244176]"
25,208,0.0011564953902749918,23520116,CEM,"[-0.0101994 , -0.03244176]"
26,216,0.0006594653375487276,23520116,CEM,"[ 0.02538931, -0.00385333]"
27,224,0.0004422813530901342,23520116,CEM,"[ 0.00421043, -0.0206047 ]"
28,232,0.00014420644063710883,23520116,CEM,"[-0.00332247, -0.01153983]"
29,240,0.00014420644063710883,23520116,CEM,"[-0.00332247, -0.01153983]"
30,248,0.00014420644063710883,23520116,CEM,"[-0.00332247, -0.01153983]"
31,256,0.00014420644063710883,23520116,CEM,"[-0.00332247, -0.01153983]"
32,264,0.00014420644063710883,23520116,CEM,"[-0.00332247, -0.01153983]"
33,272,0.00014420644063710883,23520116,CEM,"[-0.00332247, -0.01153983]"
34,280,9.885136153378957e-05,23520116,CEM,"[-0.0020777 , -0.00972289]"
35,288,9.885136153378957e-05,23520116,CEM,"[-0.0020777 , -0.00972289]"
36,296,9.604101373453857e-05,23520116,CEM,"[-0.00268205,  0.0094259 ]"
37,304,9.604101373453857e-05,23520116,CEM,"[-0.00268205,  0.0094259 ]"
38,312,2.8980117145215e-05,23520116,CEM,"[0.00199727, 0.0049991 ]"
39,320,2.8980117145215e-05,23520116,CEM,"[0.00199727, 0.0049991 ]"
40,328,2.8980117145215e-05,23520116,CEM,"[0.00199727, 0.0049991 ]"
41,336,2.2326129425625886e-05,23520116,CEM,"[-0.0042442 ,  0.00207675]"
42,344,2.2326129425625886e-05,23520116,CEM,"[-0.0042442 ,  0.00207675]"
43,352,2.2326129425625886e-05,23520116,CEM,"[-0.0042442 ,  0.00207675]"
44,360,6.786510626489613e-06,23520116,CEM,"[-0.00147772, -0.00214542]"
45,368,6.786510626489613e-06,23520116,CEM,"[-0.00147772, -0.00214542]"
46,376,6.6797375599511165e-06,23520116,CEM,"[-0.00061206,  0.002511  ]"
47,384,6.6797375599511165e-06,23520116,CEM,"[-0.00061206,  0.002511  ]"
48,392,6.6797375599511165e-06,23520116,CEM,"[-0.00061206,  0.002511  ]"
49,400,3.1224401456160346e-06,23520116,CEM,"[ 0.00097431, -0.00147416]"
50,408,2.200891771843576e-06,23520116,CEM,"[ 0.00037072, -0.00143647]"
51,416,2.200891771843576e-06,23520116,CEM,"[ 0.00037072, -0.00143647]"
52,424,2.200891771843576e-06,23520116,CEM,"[ 0.00037072, -0.00143647]"
53,432,1.6339092789572745e-07,23520116,CEM,"[ 0.00033311, -0.00022898]"
