Generation,Num_of_evaluations,Objective_value_fitness_best_i,Random_Seed,Algorithm,Best_Solution
0,8,0.5108844352140166,23520116,DE,"[ 0.35589648, -0.61985654]"
1,16,0.5108844352140166,23520116,DE,"[ 0.35589648, -0.61985654]"
2,24,0.5108844352140166,23520116,DE,"[ 0.35589648, -0.61985654]"
3,32,0.08776521465462515,23520116,DE,"[ 0.27324324, -0.11446985]"
4,40,0.0322550431463281,23520116,DE,"[-0.05448939,  0.17113138]"
5,48,0.0322550431463281,23520116,DE,"[-0.05448939,  0.17113138]"
6,56,0.0322550431463281,23520116,DE,"[-0.05448939,  0.17113138]"
7,64,0.0322550431463281,23520116,DE,"[-0.05448939,  0.17113138]"
8,72,0.016393428711674183,23520116,DE,"[0.12128839, 0.04101896]"
9,80,0.016393428711674183,23520116,DE,"[0.12128839, 0.04101896]"
10,88,0.016393428711674183,23520116,DE,"[0.12128839, 0.04101896]"
11,96,0.0001630759047549912,23520116,DE,"[0.00826681, 0.00973323]"
12,104,0.0001630759047549912,23520116,DE,"[0.00826681, 0.00973323]"
13,112,0.0001630759047549912,23520116,DE,"[0.00826681, 0.00973323]"
14,120,0.0001630759047549912,23520116,DE,"[0.00826681, 0.00973323]"
15,128,0.00014218738297482305,23520116,DE,"[ 0.00571588, -0.010465  ]"
16,136,0.00014218738297482305,23520116,DE,"[ 0.00571588, -0.010465  ]"
17,144,0.00014218738297482305,23520116,DE,"[ 0.00571588, -0.010465  ]"
18,152,0.00014218738297482305,23520116,DE,"[ 0.00571588, -0.010465  ]"
19,160,0.00014218738297482305,23520116,DE,"[ 0.00571588, -0.010465  ]"
20,168,0.00014218738297482305,23520116,DE,"[ 0.00571588, -0.010465  ]"
21,176,5.623086798410066e-05,23520116,DE,"[0.00412275, 0.00626369]"
22,184,5.623086798410066e-05,23520116,DE,"[0.00412275, 0.00626369]"
23,192,5.623086798410066e-05,23520116,DE,"[0.00412275, 0.00626369]"
24,200,5.623086798410066e-05,23520116,DE,"[0.00412275, 0.00626369]"
25,208,2.1571167375775465e-05,23520116,DE,"[-0.00190072,  0.00423774]"
26,216,2.1571167375775465e-05,23520116,DE,"[-0.00190072,  0.00423774]"
27,224,1.957707950889216e-05,23520116,DE,"[-0.00401127,  0.0018673 ]"
28,232,1.957707950889216e-05,23520116,DE,"[-0.00401127,  0.0018673 ]"
