Generation,Num_of_evaluations,Objective_value_fitness_best_i,Random_Seed,Algorithm,Best_Solution
0,64,94298.40480568599,23520116,DE,"[-0.80438725,  0.83724239,  4.37462664,  1.20698544, -4.09470501,  3.87826871, -0.83482717,  3.62520481,  0.90289727,  0.67727212]"
1,128,94298.40480568599,23520116,DE,"[-0.80438725,  0.83724239,  4.37462664,  1.20698544, -4.09470501,  3.87826871, -0.83482717,  3.62520481,  0.90289727,  0.67727212]"
2,192,94298.40480568599,23520116,DE,"[-0.80438725,  0.83724239,  4.37462664,  1.20698544, -4.09470501,  3.87826871, -0.83482717,  3.62520481,  0.90289727,  0.67727212]"
3,256,74859.72925751227,23520116,DE,"[-2.53207521,  3.82976324, -3.13516233, -0.92676364,  3.86704155,  3.68817483,  2.57273535,  0.05626278, -2.49792592,  4.95664966]"
4,320,74859.72925751227,23520116,DE,"[-2.53207521,  3.82976324, -3.13516233, -0.92676364,  3.86704155,  3.68817483,  2.57273535,  0.05626278, -2.49792592,  4.95664966]"
5,384,74859.72925751227,23520116,DE,"[-2.53207521,  3.82976324, -3.13516233, -0.92676364,  3.86704155,  3.68817483,  2.57273535,  0.05626278, -2.49792592,  4.95664966]"
6,448,74859.72925751227,23520116,DE,"[-2.53207521,  3.82976324, -3.13516233, -0.92676364,  3.86704155,  3.68817483,  2.57273535,  0.05626278, -2.49792592,  4.95664966]"
7,512,55376.38310992429,23520116,DE,"[-3.84937219,  1.45476512, -2.65989531,  1.97452333,  2.20893219,  4.18996065,  1.80175786, -0.38176135, -0.69266141,  8.25358844]"
8,576,25297.715234281583,23520116,DE,"[ 2.83026032,  0.57140825,  2.17101901, -0.54907458, -1.22972069,  2.55206367,  2.32199346, -2.48832427, -1.97707712, -0.13525861]"
9,640,25297.715234281583,23520116,DE,"[ 2.83026032,  0.57140825,  2.17101901, -0.54907458, -1.22972069,  2.55206367,  2.32199346, -2.48832427, -1.97707712, -0.13525861]"
10,704,25297.715234281583,23520116,DE,"[ 2.83026032,  0.57140825,  2.17101901, -0.54907458, -1.22972069,  2.55206367,  2.32199346, -2.48832427, -1.97707712, -0.13525861]"
11,768,25297.715234281583,23520116,DE,"[ 2.83026032,  0.57140825,  2.17101901, -0.54907458, -1.22972069,  2.55206367,  2.32199346, -2.48832427, -1.97707712, -0.13525861]"
