Generation,Num_of_evaluations,Objective_value_fitness_best_i,Random_Seed,Algorithm,Best_Solution
0,8,599105.4504846521,23520116,CEM,"[ 2.03487793, -4.81933987,  4.53743115, -5.        ,  2.29653515,  6.59855439, -5.        ,  4.6684339 , -5.        , -5.        ]"
1,16,292492.86992027855,23520116,CEM,"[ 4.11869465, -5.        ,  2.97857277, -5.        , -0.27430791,  0.86970411, -1.51037115,  4.29819375, -5.        ,  1.24982704]"
2,24,292492.86992027855,23520116,CEM,"[ 4.11869465, -5.        ,  2.97857277, -5.        , -0.27430791,  0.86970411, -1.51037115,  4.29819375, -5.        ,  1.24982704]"
3,32,292492.86992027855,23520116,CEM,"[ 4.11869465, -5.        ,  2.97857277, -5.        , -0.27430791,  0.86970411, -1.51037115,  4.29819375, -5.        ,  1.24982704]"
4,40,186355.65757763205,23520116,CEM,"[ 1.67565782, -2.68745555,  5.06697739,  0.90975026, -1.94590689,  1.59621131, -5.        ,  3.00576485, -5.        ,  3.45708646]"
5,48,186355.65757763205,23520116,CEM,"[ 1.67565782, -2.68745555,  5.06697739,  0.90975026, -1.94590689,  1.59621131, -5.        ,  3.00576485, -5.        ,  3.45708646]"
6,56,186355.65757763205,23520116,CEM,"[ 1.67565782, -2.68745555,  5.06697739,  0.90975026, -1.94590689,  1.59621131, -5.        ,  3.00576485, -5.        ,  3.45708646]"
7,64,152134.88282338725,23520116,CEM,"[-0.69033136, -3.7714109 ,  4.25224274,  0.48656074, -2.28607752,  3.93726553, -5.        ,  3.54075415, -1.71320767,  1.79086855]"
8,72,152134.88282338725,23520116,CEM,"[-0.69033136, -3.7714109 ,  4.25224274,  0.48656074, -2.28607752,  3.93726553, -5.        ,  3.54075415, -1.71320767,  1.79086855]"
9,80,152134.88282338725,23520116,CEM,"[-0.69033136, -3.7714109 ,  4.25224274,  0.48656074, -2.28607752,  3.93726553, -5.        ,  3.54075415, -1.71320767,  1.79086855]"
10,88,91088.47980495279,23520116,CEM,"[ 1.65989852, -0.74612876,  3.91345507, -2.45238347,  0.07720032,  3.12078685, -4.25978461,  2.7456583 , -2.0770995 ,  3.65996279]"
11,96,91088.47980495279,23520116,CEM,"[ 1.65989852, -0.74612876,  3.91345507, -2.45238347,  0.07720032,  3.12078685, -4.25978461,  2.7456583 , -2.0770995 ,  3.65996279]"
12,104,64330.503873590584,23520116,CEM,"[ 1.5463291 , -2.4403351 ,  3.25439103, -0.18884847, -0.63640783,  1.05461194, -4.49603818,  3.80855132,  0.81247358, -1.96722914]"
13,112,64330.503873590584,23520116,CEM,"[ 1.5463291 , -2.4403351 ,  3.25439103, -0.18884847, -0.63640783,  1.05461194, -4.49603818,  3.80855132,  0.81247358, -1.96722914]"
14,120,52514.308779420724,23520116,CEM,"[ 2.1813291 , -2.72258576,  3.46270458, -0.21422879, -0.3172606 ,  2.66238025, -3.87976989,  2.2086914 ,  1.5105242 ,  1.38703443]"
15,128,27837.20222127379,23520116,CEM,"[ 1.93752246, -2.65633394,  3.65759622, -0.2131989 ,  0.09027745,  1.32997855, -2.16698816,  1.45959861, -1.25012623,  2.77823362]"
16,136,27837.20222127379,23520116,CEM,"[ 1.93752246, -2.65633394,  3.65759622, -0.2131989 ,  0.09027745,  1.32997855, -2.16698816,  1.45959861, -1.25012623,  2.77823362]"
17,144,27837.20222127379,23520116,CEM,"[ 1.93752246, -2.65633394,  3.65759622, -0.2131989 ,  0.09027745,  1.32997855, -2.16698816,  1.45959861, -1.25012623,  2.77823362]"
18,152,27837.20222127379,23520116,CEM,"[ 1.93752246, -2.65633394,  3.65759622, -0.2131989 ,  0.09027745,  1.32997855, -2.16698816,  1.45959861, -1.25012623,  2.77823362]"
19,160,27837.20222127379,23520116,CEM,"[ 1.93752246, -2.65633394,  3.65759622, -0.2131989 ,  0.09027745,  1.32997855, -2.16698816,  1.45959861, -1.25012623,  2.77823362]"
20,168,27837.20222127379,23520116,CEM,"[ 1.93752246, -2.65633394,  3.65759622, -0.2131989 ,  0.09027745,  1.32997855, -2.16698816,  1.45959861, -1.25012623,  2.77823362]"
21,176,27837.20222127379,23520116,CEM,"[ 1.93752246, -2.65633394,  3.65759622, -0.2131989 ,  0.09027745,  1.32997855, -2.16698816,  1.45959861, -1.25012623,  2.77823362]"
22,184,27837.20222127379,23520116,CEM,"[ 1.93752246, -2.65633394,  3.65759622, -0.2131989 ,  0.09027745,  1.32997855, -2.16698816,  1.45959861, -1.25012623,  2.77823362]"
23,192,27837.20222127379,23520116,CEM,"[ 1.93752246, -2.65633394,  3.65759622, -0.2131989 ,  0.09027745,  1.32997855, -2.16698816,  1.45959861, -1.25012623,  2.77823362]"
