Generation,Num_of_evaluations,Objective_value_fitness_best_i,Random_Seed,Algorithm,Best_Solution
0,16,16.813582764925105,23520117,CEM,"[ 9.30014187, -5.00041746]"
1,32,12.156066761811939,23520117,CEM,"[ 4.52966728, -1.48791211]"
2,48,12.156066761811939,23520117,CEM,"[ 4.52966728, -1.48791211]"
3,64,10.050471679985062,23520117,CEM,"[1.89207164, 3.7926537 ]"
4,80,10.050471679985062,23520117,CEM,"[1.89207164, 3.7926537 ]"
5,96,10.050471679985062,23520117,CEM,"[1.89207164, 3.7926537 ]"
6,112,6.532467628088021,23520117,CEM,"[-1.94583475, -0.39383546]"
7,128,6.532467628088021,23520117,CEM,"[-1.94583475, -0.39383546]"
8,144,6.2639466662793915,23520117,CEM,"[-0.28226201,  1.72086227]"
9,160,6.2639466662793915,23520117,CEM,"[-0.28226201,  1.72086227]"
10,176,6.2639466662793915,23520117,CEM,"[-0.28226201,  1.72086227]"
11,192,5.953426638069871,23520117,CEM,"[1.39549977, 1.02171539]"
12,208,3.388882774247279,23520117,CEM,"[0.96261074, 0.19553177]"
13,224,3.388882774247279,23520117,CEM,"[0.96261074, 0.19553177]"
14,240,3.388882774247279,23520117,CEM,"[0.96261074, 0.19553177]"
15,256,1.1162763478334097,23520117,CEM,"[-0.03596853,  0.16806829]"
16,272,1.1162763478334097,23520117,CEM,"[-0.03596853,  0.16806829]"
17,288,1.1162763478334097,23520117,CEM,"[-0.03596853,  0.16806829]"
18,304,1.1162763478334097,23520117,CEM,"[-0.03596853,  0.16806829]"
19,320,1.1162763478334097,23520117,CEM,"[-0.03596853,  0.16806829]"
20,336,1.1162763478334097,23520117,CEM,"[-0.03596853,  0.16806829]"
21,352,1.1162763478334097,23520117,CEM,"[-0.03596853,  0.16806829]"
22,368,1.1162763478334097,23520117,CEM,"[-0.03596853,  0.16806829]"
23,384,0.3264544423184046,23520117,CEM,"[-0.01678639, -0.06843285]"
24,400,0.3264544423184046,23520117,CEM,"[-0.01678639, -0.06843285]"
25,416,0.3264544423184046,23520117,CEM,"[-0.01678639, -0.06843285]"
26,432,0.3264544423184046,23520117,CEM,"[-0.01678639, -0.06843285]"
27,448,0.3264544423184046,23520117,CEM,"[-0.01678639, -0.06843285]"
28,464,0.3264544423184046,23520117,CEM,"[-0.01678639, -0.06843285]"
29,480,0.3264544423184046,23520117,CEM,"[-0.01678639, -0.06843285]"
