Generation,Num_of_evaluations,Objective_value_fitness_best_i,Random_Seed,Algorithm,Best_Solution
0,32,20.505422226343335,23520112,CEM,"[-24.00318582,  32.        , -32.        , -23.98543664,   0.94753078,  11.31887716, -18.09910916,  32.        ,  32.        ,  15.73345634]"
1,64,20.48204523756458,23520112,CEM,"[ -3.74414382,  32.        , -25.99612591, -16.17543303,  -3.85045668,  26.37419477,  12.98432347,  26.0827151 ,  11.10341508,  -7.03287327]"
2,96,20.48204523756458,23520112,CEM,"[ -3.74414382,  32.        , -25.99612591, -16.17543303,  -3.85045668,  26.37419477,  12.98432347,  26.0827151 ,  11.10341508,  -7.03287327]"
3,128,20.41801371270783,23520112,CEM,"[ -4.13120767,  32.        , -24.04516759,  14.90106494, -16.76436343,  -3.0458998 ,   8.62701009,  17.77873276,   9.13008232, -10.28776098]"
4,160,20.274046112593393,23520112,CEM,"[  4.9946987 ,  30.26947034, -15.01696233,  -9.68881401,   0.17019717,   3.72661733,  13.27137022,  15.08113201,  15.98449724,  16.74534945]"
5,192,18.8543931895378,23520112,CEM,"[ -5.77028693,   1.82020259, -16.09884554, -15.5619508 ,  -6.84646291, -14.64730545,  -4.17542704,  -5.58592663,  11.1905373 ,   4.08799991]"
6,224,18.8543931895378,23520112,CEM,"[ -5.77028693,   1.82020259, -16.09884554, -15.5619508 ,  -6.84646291, -14.64730545,  -4.17542704,  -5.58592663,  11.1905373 ,   4.08799991]"
7,256,18.8543931895378,23520112,CEM,"[ -5.77028693,   1.82020259, -16.09884554, -15.5619508 ,  -6.84646291, -14.64730545,  -4.17542704,  -5.58592663,  11.1905373 ,   4.08799991]"
8,288,16.780374713781214,23520112,CEM,"[-4.16821625,  1.01060496, -0.86839313, -2.36343322,  4.0858657 , -6.07281385,  8.72703962,  8.28178429, 14.79025095,  9.66890111]"
9,320,16.780374713781214,23520112,CEM,"[-4.16821625,  1.01060496, -0.86839313, -2.36343322,  4.0858657 , -6.07281385,  8.72703962,  8.28178429, 14.79025095,  9.66890111]"
10,352,16.780374713781214,23520112,CEM,"[-4.16821625,  1.01060496, -0.86839313, -2.36343322,  4.0858657 , -6.07281385,  8.72703962,  8.28178429, 14.79025095,  9.66890111]"
11,384,16.780374713781214,23520112,CEM,"[-4.16821625,  1.01060496, -0.86839313, -2.36343322,  4.0858657 , -6.07281385,  8.72703962,  8.28178429, 14.79025095,  9.66890111]"
12,416,16.780374713781214,23520112,CEM,"[-4.16821625,  1.01060496, -0.86839313, -2.36343322,  4.0858657 , -6.07281385,  8.72703962,  8.28178429, 14.79025095,  9.66890111]"
13,448,16.780374713781214,23520112,CEM,"[-4.16821625,  1.01060496, -0.86839313, -2.36343322,  4.0858657 , -6.07281385,  8.72703962,  8.28178429, 14.79025095,  9.66890111]"
14,480,16.31579707111425,23520112,CEM,"[ 2.2052741 ,  1.49813212,  2.28605454, -1.41655243,  9.28992994, -5.11371203,  4.63745775,  5.4265482 , 14.85020608, -3.98412322]"
15,512,15.785751268985559,23520112,CEM,"[-1.9694873 ,  6.07141577,  4.01556816, -6.06797651,  9.60956768, -4.56847316,  2.29124995,  2.98797162, 14.21439342, -1.0450747 ]"
16,544,15.241815728082226,23520112,CEM,"[-10.98300089,   4.94235592,  -2.18917422,  -8.01484913,  10.21481119,  -0.62991789,  -4.99794628,   3.18125119,   2.04908977,  -5.23439025]"
17,576,13.9395785533298,23520112,CEM,"[-2.55195601,  4.07439244, -0.07495142, -3.72594426,  2.51614799, -2.63537696,  5.24738128,  4.94686991, 11.14290303, -2.14435604]"
