Generation,Num_of_evaluations,Objective_value_fitness_best_i,Random_Seed,Algorithm,Best_Solution
0,64,2.7004203189209455,23520117,CEM,"[ -15.55554682, -102.37072733]"
1,128,2.7004203189209455,23520117,CEM,"[ -15.55554682, -102.37072733]"
2,192,2.116702731607062,23520117,CEM,"[-20.94436271,  68.39691541]"
3,256,1.2980128998027616,23520117,CEM,"[-31.7394512 , -61.78907685]"
4,320,1.2980128998027616,23520117,CEM,"[-31.7394512 , -61.78907685]"
5,384,1.2060734663385941,23520117,CEM,"[-25.60891012, -19.90236003]"
6,448,0.17186361681625484,23520117,CEM,"[-3.38553596, 22.44965913]"
7,512,0.17186361681625484,23520117,CEM,"[-3.38553596, 22.44965913]"
8,576,0.17186361681625484,23520117,CEM,"[-3.38553596, 22.44965913]"
9,640,0.17186361681625484,23520117,CEM,"[-3.38553596, 22.44965913]"
10,704,0.17186361681625484,23520117,CEM,"[-3.38553596, 22.44965913]"
11,768,0.17186361681625484,23520117,CEM,"[-3.38553596, 22.44965913]"
12,832,0.17186361681625484,23520117,CEM,"[-3.38553596, 22.44965913]"
13,896,0.17186361681625484,23520117,CEM,"[-3.38553596, 22.44965913]"
14,960,0.07761547022228554,23520117,CEM,"[-9.14265844,  4.21219188]"
15,1024,0.07761547022228554,23520117,CEM,"[-9.14265844,  4.21219188]"
16,1088,0.07761547022228554,23520117,CEM,"[-9.14265844,  4.21219188]"
17,1152,0.07761547022228554,23520117,CEM,"[-9.14265844,  4.21219188]"
18,1216,0.07761547022228554,23520117,CEM,"[-9.14265844,  4.21219188]"
19,1280,0.07761547022228554,23520117,CEM,"[-9.14265844,  4.21219188]"
20,1344,0.07761547022228554,23520117,CEM,"[-9.14265844,  4.21219188]"
21,1408,0.034437074397950185,23520117,CEM,"[-9.54085725, -4.42930936]"
22,1472,0.034437074397950185,23520117,CEM,"[-9.54085725, -4.42930936]"
23,1536,0.034437074397950185,23520117,CEM,"[-9.54085725, -4.42930936]"
24,1600,0.034437074397950185,23520117,CEM,"[-9.54085725, -4.42930936]"
25,1664,0.034437074397950185,23520117,CEM,"[-9.54085725, -4.42930936]"
26,1728,0.031066121071051223,23520117,CEM,"[-6.2534256 , -8.94402706]"
27,1792,0.031066121071051223,23520117,CEM,"[-6.2534256 , -8.94402706]"
28,1856,0.031066121071051223,23520117,CEM,"[-6.2534256 , -8.94402706]"
29,1920,0.031066121071051223,23520117,CEM,"[-6.2534256 , -8.94402706]"
30,1984,0.031066121071051223,23520117,CEM,"[-6.2534256 , -8.94402706]"
31,2000,0.031066121071051223,23520117,CEM,"[-6.2534256 , -8.94402706]"
