Generation,Num_of_evaluations,Objective_value_fitness_best_i,Random_Seed,Algorithm,Best_Solution
0,16,58.7257487989144,23520110,CEM,"[-1.39560032, -1.46130845, -3.68687018,  1.51808045,  0.11573216, -2.19491655, -5.12      , -0.04007477, -1.82532224, -2.08954212]"
1,32,58.7257487989144,23520110,CEM,"[-1.39560032, -1.46130845, -3.68687018,  1.51808045,  0.11573216, -2.19491655, -5.12      , -0.04007477, -1.82532224, -2.08954212]"
2,48,58.7257487989144,23520110,CEM,"[-1.39560032, -1.46130845, -3.68687018,  1.51808045,  0.11573216, -2.19491655, -5.12      , -0.04007477, -1.82532224, -2.08954212]"
3,64,55.0752662130711,23520110,CEM,"[-1.02863526,  1.21983264, -0.68298274, -2.44415999,  2.1711225 , -4.64719435, -0.30168317,  3.17450212, -2.80347208, -1.32313274]"
4,80,35.043283810726074,23520110,CEM,"[ 1.89664868,  2.09433091, -0.07895462, -0.79019193,  1.75581239, -1.79131229, -1.78751818, -0.86135146, -3.46961523, -2.04012113]"
5,96,35.043283810726074,23520110,CEM,"[ 1.89664868,  2.09433091, -0.07895462, -0.79019193,  1.75581239, -1.79131229, -1.78751818, -0.86135146, -3.46961523, -2.04012113]"
6,112,24.684188046617212,23520110,CEM,"[-1.08834114,  0.66485025,  0.72170472, -0.6706771 , -1.51563504, -1.63557464,  1.56905855,  3.59651109,  0.36245656,  1.2595812 ]"
7,128,24.684188046617212,23520110,CEM,"[-1.08834114,  0.66485025,  0.72170472, -0.6706771 , -1.51563504, -1.63557464,  1.56905855,  3.59651109,  0.36245656,  1.2595812 ]"
8,144,17.004029837192213,23520110,CEM,"[-0.23603551,  0.2205812 , -0.76524325, -2.17776086,  1.10407977, -2.50879151, -0.75765644, -0.14274116, -1.80843543, -0.43992887]"
9,160,17.004029837192213,23520110,CEM,"[-0.23603551,  0.2205812 , -0.76524325, -2.17776086,  1.10407977, -2.50879151, -0.75765644, -0.14274116, -1.80843543, -0.43992887]"
