Function,d,N,DE_Mean,DE_Std,CEM_Mean,CEM_Std,p_value,Significant,Winner
Sphere,2,8,1.760399211747858e-05,3.5208270960785424e-05,1.1191304333578558e-09,1.3238751776057747e-09,0.16787801443306571,False,Tie
Sphere,2,16,2.755117440681215e-23,6.190226544084047e-23,1.0897081592423613e-09,1.3192853418938931e-09,0.035109270644384794,True,DE
Sphere,2,32,7.21505600852385e-12,7.49772890923986e-12,2.6814957542470484e-08,1.9268505505517075e-08,0.0023979881142648755,True,DE
Sphere,2,64,7.796345935967514e-07,1.22222539672795e-06,2.653641071773362e-05,2.3472620584687735e-05,0.009347722405215655,True,DE
Sphere,2,128,0.0003912116135698086,0.00023345312554160297,0.0017907029487237362,0.0013419935634800097,0.012230005737960998,True,DE
Sphere,10,8,0.221134948727512,0.6055643214512636,7.148099198276391,3.871083726027953,0.00041915397196138254,True,DE
Sphere,10,16,2.1936335666734771e-13,3.0004434472709007e-13,2.776923328267536,2.0094593838319867,0.0025000449582655493,True,DE
Sphere,10,32,0.0003775519303931563,0.00045919275614153684,0.14197965527856637,0.23689684064101818,0.1065288826567998,False,Tie
Sphere,10,64,0.210354431155705,0.09489551248768426,1.5175641194208825e-06,3.7934855516480044e-07,9.37344483619458e-05,True,CEM
Sphere,10,128,2.2730401290709086,0.40797367520170724,4.991664656503734e-05,1.592792457940746e-05,4.392828601611535e-08,True,CEM
Rastrigin,2,8,0.28370251463449103,0.40004390884085467,2.1894563007561105,2.059670037022603,0.02198418550903565,True,DE
Rastrigin,2,16,7.105427357601002e-16,2.131628207280301e-15,0.5562736407711583,0.4996675163068426,0.008662063331274053,True,DE
Rastrigin,2,32,0.009357551526960961,0.019727170472769194,0.020126064196754355,0.054537767408480924,0.5883546589681863,False,Tie
Rastrigin,2,64,0.330002207332382,0.3344369533116527,0.1946067593585024,0.1933138253153737,0.3103380473360896,False,Tie
Rastrigin,2,128,0.671710946374068,0.46552118518927205,0.4770296540144564,0.4038036050759235,0.3560626924728828,False,Tie
Rastrigin,10,8,20.925198845004445,12.256008076367241,31.21851882865702,11.725235384705499,0.08536857866778878,False,Tie
Rastrigin,10,16,10.157251809467038,4.9154847090087985,16.465998495119333,6.683787933451161,0.03609533298131141,True,DE
Rastrigin,10,32,44.59452428227273,3.9513884947752507,10.728240965997488,3.9243577690156513,4.683147864150487e-13,True,CEM
Rastrigin,10,64,57.39082072723952,6.67107401551306,6.56761708668994,2.7500776840683256,7.610598038291616e-11,True,CEM
Rastrigin,10,128,63.31215971822864,9.263530731062435,17.772614746907742,7.3298216191538685,1.655162974788676e-09,True,CEM
Rosenbrock,2,8,0.5146019243499634,1.3649682789261715,0.8484322176221483,1.039274450419923,0.5671324926299229,False,Tie
Rosenbrock,2,16,1.0667788473471457e-13,2.8441443924728387e-13,0.4379469742269678,0.9465302663946846,0.19851494828504856,False,Tie
Rosenbrock,2,32,7.43937193173034e-05,0.00017839811887844395,0.004652848693170315,0.010610636330643882,0.22776392543559132,False,Tie
Rosenbrock,2,64,0.08761162583772121,0.09324211872900547,0.007082222257909672,0.008961561364159475,0.029323177794317288,True,CEM
Rosenbrock,2,128,0.10755805353638363,0.09198372326218202,0.04918647144452962,0.07424284815415173,0.1565491335828413,False,Tie
Rosenbrock,10,8,5499.038207860636,16147.465004006497,13915.460727321877,11005.01829250007,0.21480800093093805,False,Tie
Rosenbrock,10,16,1.5770549126747002,1.4458463010050147,1119.6544355462051,1415.6397323541983,0.04194947493882674,True,DE
Rosenbrock,10,32,8.246170947644229,1.4806549661328001,144.16424061503068,201.69453041733044,0.0739288089569941,False,Tie
Rosenbrock,10,64,117.41466260169116,45.30619314970764,22.26258677853895,22.80710271419463,7.585467350418052e-05,True,CEM
Rosenbrock,10,128,851.4462991032418,340.4641645325052,6.7362271888476855,0.8607610757978214,3.92014904611496e-05,True,CEM
Ackley,2,8,5.1788526356233435e-09,1.553652696867764e-08,1.5028879074341515,4.508371524265211,0.3434066976887562,False,Tie
Ackley,2,16,8.754321711990087e-11,6.208304280925139e-11,0.00011689770191312122,4.966152160717194e-05,5.909824873082411e-05,True,DE
Ackley,2,32,4.344105172302548e-05,3.186960844197962e-05,0.002255632581978961,0.0012334879604509249,0.0004433329695114491,True,DE
Ackley,2,64,0.026643560147870192,0.009816285019070151,0.13738693855234851,0.07155034657546892,0.0011714050957751544,True,DE
Ackley,2,128,1.4251437733254668,0.5395738951537302,1.71664545038633,0.7742152500303231,0.3677945740007158,False,Tie
Ackley,10,8,11.929395409654187,6.055791129471797,16.09840839646008,2.722938218880522,0.08308982975183359,False,Tie
Ackley,10,16,3.9846547725281574,7.96930258669258,10.510770924201106,4.420126221320408,0.049587722387200564,True,DE
Ackley,10,32,1.0740108224659022,1.0394136288576297,3.8010372325780275,3.8764026220716286,0.06803975937881533,False,Tie
Ackley,10,64,8.982445650957084,3.4137886781347366,0.8683967486297732,1.4783818336441672,2.4852565832221134e-05,True,CEM
Ackley,10,128,17.33314927086064,1.8162614324141897,0.0840183302151627,0.018121812794294406,3.923463309386312e-10,True,CEM
Griewank,2,8,0.02834941778357005,0.02881597685600965,0.029459883620067497,0.01861047550030825,0.9238871684769938,False,Tie
Griewank,2,16,0.009534401966957606,0.00826729978781631,0.0077707819596402935,0.008638667239274804,0.66342097212714,False,Tie
Griewank,2,32,0.02667925243322201,0.01432611196823292,0.013488018107427158,0.005577685563081086,0.024827229767781404,True,CEM
Griewank,2,64,0.03281367899835417,0.025035760827415897,0.04002909465483179,0.012918967965178227,0.4555358430355756,False,Tie
Griewank,2,128,0.07695998854684051,0.04508387094733423,0.13994791793368275,0.0543216997036302,0.01569970340507567,True,DE
Griewank,10,8,0.38847763261378304,0.34884486629037864,22.78051291642595,9.858851738648749,7.727666374856828e-05,True,DE
Griewank,10,16,0.2429393321001209,0.19810814902888768,14.557407288406415,10.237241786938709,0.002323312969815773,True,DE
Griewank,10,32,0.6799139468629541,0.13496822351543364,1.2950942447191225,1.4272362578764892,0.22954595207567974,False,Tie
Griewank,10,64,1.789073292875519,0.3133601688533643,0.003953448560161254,0.006636507587044569,3.5847463499932784e-08,True,CEM
Griewank,10,128,9.62713573295445,2.027629422225858,0.3429451659040231,0.10171151937485408,2.322436171196534e-07,True,CEM
