Generation,Num_of_evaluations,Objective_value_fitness_best_i,Random_Seed,Algorithm,Best_Solution
0,64,323577.5140769599,23520108,CEM,"[ 3.24669191,  3.05197381,  2.15168485,  6.41935454,  5.57801474, -5.        ,  2.72884785,  1.04562807,  2.57851501, 10.        ]"
1,128,321507.92725745135,23520108,CEM,"[-2.50468003,  4.32937778,  1.65364304,  6.54748905,  2.58491622, -4.58040191,  3.63610333, -5.        ,  2.43500041,  9.34463077]"
2,192,127688.56979825461,23520108,CEM,"[-1.50721825,  4.35769702,  2.25673701,  4.8155622 ,  1.99887643,  0.40608572,  3.01031257, -2.90734339, -4.74869892,  8.26629375]"
3,256,70954.40611087602,23520108,CEM,"[ 1.40988361, -2.90298244, -1.13125336, -1.72581625,  2.19512801,  3.31929555,  4.74503563,  2.57977441, -0.60082892,  9.97381439]"
4,320,70707.14525581575,23520108,CEM,"[ 1.27108114, -1.07440531,  0.90683429,  2.72383134, -1.06833204, -5.        ,  1.06215259,  0.24919631,  2.00560841,  6.91046216]"
5,384,45045.16319729469,23520108,CEM,"[ 0.9677698 , -0.64528834,  3.07833589,  2.77106368,  2.43198896, -0.03166841,  4.40935224,  2.94775207,  3.57340167,  8.89790221]"
6,448,40710.12142062098,23520108,CEM,"[ 0.0660218 , -2.43329161,  3.82788818,  1.52600821,  1.67566313, -0.87898724,  3.7600669 ,  0.26714891,  2.49044354,  7.9097206 ]"
7,512,35116.940651569974,23520108,CEM,"[ 0.48133159,  3.4166138 , -0.3833337 ,  2.17422498,  0.2573197 , -2.99216499,  3.55581145,  1.59159872,  2.58165227,  9.9182658 ]"
8,576,11060.638823515577,23520108,CEM,"[ 0.70369798,  1.70392273, -1.50369755,  2.77386052, -0.36735385, -1.7899509 ,  0.96097426,  0.85154327, -3.12743466,  9.06010026]"
9,640,11060.638823515577,23520108,CEM,"[ 0.70369798,  1.70392273, -1.50369755,  2.77386052, -0.36735385, -1.7899509 ,  0.96097426,  0.85154327, -3.12743466,  9.06010026]"
10,704,11060.638823515577,23520108,CEM,"[ 0.70369798,  1.70392273, -1.50369755,  2.77386052, -0.36735385, -1.7899509 ,  0.96097426,  0.85154327, -3.12743466,  9.06010026]"
11,768,10020.99242047596,23520108,CEM,"[-2.45408022,  0.12687975,  0.8092319 ,  2.68753582,  1.2496475 , -0.16849374,  1.11627763, -0.23085066, -3.06804402,  6.4871757 ]"
12,832,4756.433081473715,23520108,CEM,"[-1.29306588,  1.94273932,  2.40412744,  1.97317225,  1.31863587,  0.8040514 ,  2.07293565,  0.53997708, -2.38388704,  5.38075886]"
13,896,3993.668498452728,23520108,CEM,"[-2.18181542,  2.42906976,  0.8777803 ,  1.13673228,  1.59849467,  1.4151749 ,  0.42191881, -0.74940273,  2.17874587,  6.01126664]"
14,960,3993.668498452728,23520108,CEM,"[-2.18181542,  2.42906976,  0.8777803 ,  1.13673228,  1.59849467,  1.4151749 ,  0.42191881, -0.74940273,  2.17874587,  6.01126664]"
15,1024,2549.146261387623,23520108,CEM,"[0.73531161, 0.90240762, 0.95925401, 1.34649269, 2.01322372, 0.64559318, 0.93899536, 1.2748333 , 1.9765618 , 7.50295208]"
16,1088,2549.146261387623,23520108,CEM,"[0.73531161, 0.90240762, 0.95925401, 1.34649269, 2.01322372, 0.64559318, 0.93899536, 1.2748333 , 1.9765618 , 7.50295208]"
17,1152,1852.3873968669081,23520108,CEM,"[-1.15226961,  1.75778663,  0.68637261,  1.31817412, -0.23032278, -0.40029413,  0.03653185,  0.29369412,  2.76797623,  7.07862908]"
18,1216,1060.9353326704743,23520108,CEM,"[ 0.3328316 ,  0.90719174,  1.24946331,  0.79120539,  0.74369706, -1.69554437,  1.76518368,  1.62429197,  2.15747145,  5.23836654]"
19,1280,1060.9353326704743,23520108,CEM,"[ 0.3328316 ,  0.90719174,  1.24946331,  0.79120539,  0.74369706, -1.69554437,  1.76518368,  1.62429197,  2.15747145,  5.23836654]"
20,1344,1060.9353326704743,23520108,CEM,"[ 0.3328316 ,  0.90719174,  1.24946331,  0.79120539,  0.74369706, -1.69554437,  1.76518368,  1.62429197,  2.15747145,  5.23836654]"
21,1408,1060.9353326704743,23520108,CEM,"[ 0.3328316 ,  0.90719174,  1.24946331,  0.79120539,  0.74369706, -1.69554437,  1.76518368,  1.62429197,  2.15747145,  5.23836654]"
22,1472,1060.9353326704743,23520108,CEM,"[ 0.3328316 ,  0.90719174,  1.24946331,  0.79120539,  0.74369706, -1.69554437,  1.76518368,  1.62429197,  2.15747145,  5.23836654]"
23,1536,1060.9353326704743,23520108,CEM,"[ 0.3328316 ,  0.90719174,  1.24946331,  0.79120539,  0.74369706, -1.69554437,  1.76518368,  1.62429197,  2.15747145,  5.23836654]"
24,1600,1057.4430529833746,23520108,CEM,"[-0.18219727,  0.8779943 ,  0.32770823,  1.02949627,  0.13393955,  1.14590843,  0.23255269, -1.19808722,  3.03479876,  8.08355025]"
25,1664,839.9610342132783,23520108,CEM,"[-0.58966725,  1.20390723,  1.1900443 ,  0.11467034,  0.49896148,  0.04869689,  0.95183631,  0.40994975,  2.26625889,  5.25503959]"
26,1728,839.9610342132783,23520108,CEM,"[-0.58966725,  1.20390723,  1.1900443 ,  0.11467034,  0.49896148,  0.04869689,  0.95183631,  0.40994975,  2.26625889,  5.25503959]"
27,1792,644.3073855594096,23520108,CEM,"[-1.27363343,  0.35656438,  0.88195619,  0.60731803, -0.29006765,  0.29893576,  0.3700246 , -0.21644292,  1.87429318,  3.85000629]"
28,1856,644.3073855594096,23520108,CEM,"[-1.27363343,  0.35656438,  0.88195619,  0.60731803, -0.29006765,  0.29893576,  0.3700246 , -0.21644292,  1.87429318,  3.85000629]"
29,1920,426.43883708640135,23520108,CEM,"[0.02669635, 0.23859915, 0.82534391, 1.08681914, 0.51369768, 0.17033488, 0.42652664, 1.52748194, 2.82702849, 7.14251959]"
30,1984,426.43883708640135,23520108,CEM,"[0.02669635, 0.23859915, 0.82534391, 1.08681914, 0.51369768, 0.17033488, 0.42652664, 1.52748194, 2.82702849, 7.14251959]"
31,2048,405.02815861793306,23520108,CEM,"[-0.6484615 , -0.04008961,  0.58032183,  0.82156541,  0.49192882,  0.43005126,  1.12109465,  0.86802816,  1.74200743,  4.10362765]"
32,2112,398.99273731588454,23520108,CEM,"[-1.39079733e-01, -8.62781957e-04, -2.11225139e-02,  8.35833502e-01,  1.11523438e-01, -9.37650534e-02,  3.12135537e-01,  1.03743396e+00,  2.44660318e+00,  6.03667718e+00]"
33,2176,210.35361383085367,23520108,CEM,"[ 0.18853562, -0.16252066,  0.3893248 ,  1.03632412,  0.62032765,  0.59400687,  0.94452985,  1.30419026,  2.13046934,  4.93285001]"
34,2240,210.35361383085367,23520108,CEM,"[ 0.18853562, -0.16252066,  0.3893248 ,  1.03632412,  0.62032765,  0.59400687,  0.94452985,  1.30419026,  2.13046934,  4.93285001]"
35,2304,192.53808346720533,23520108,CEM,"[ 0.02695535, -0.11227202,  0.39673181,  0.19595833,  0.62660248,  0.71002299,  1.00215424,  1.40340377,  1.85811836,  4.37670726]"
36,2368,157.96771616352476,23520108,CEM,"[-0.27614505,  0.23474532, -0.05577844, -0.01480361, -0.22437143,  0.41607104,  1.26044175,  1.31134461,  1.88386568,  3.53850304]"
37,2432,155.54114126455121,23520108,CEM,"[0.11184681, 0.20012135, 0.23237773, 0.64726803, 0.76989019, 1.23412965, 1.2329994 , 1.39079078, 2.48114373, 5.76845786]"
38,2496,155.54114126455121,23520108,CEM,"[0.11184681, 0.20012135, 0.23237773, 0.64726803, 0.76989019, 1.23412965, 1.2329994 , 1.39079078, 2.48114373, 5.76845786]"
39,2560,155.54114126455121,23520108,CEM,"[0.11184681, 0.20012135, 0.23237773, 0.64726803, 0.76989019, 1.23412965, 1.2329994 , 1.39079078, 2.48114373, 5.76845786]"
40,2624,118.57940280450345,23520108,CEM,"[0.07318096, 0.24480162, 0.61764569, 1.01995614, 1.09277338, 1.10770304, 1.04295576, 1.50947368, 2.04553456, 4.50675794]"
