Generation,Num_of_evaluations,Objective_value_fitness_best_i,Random_Seed,Algorithm,Best_Solution
0,32,233454.03794985163,23520111,DE,"[-3.97981018, -0.92302709,  0.79528994, -3.8980396 ,  0.03283727,  4.88721247,  3.69842944,  5.09331898, -4.94302155,  5.9148058 ]"
1,64,233454.03794985163,23520111,DE,"[-3.97981018, -0.92302709,  0.79528994, -3.8980396 ,  0.03283727,  4.88721247,  3.69842944,  5.09331898, -4.94302155,  5.9148058 ]"
2,96,209661.3363575731,23520111,DE,"[-0.29042666,  5.17016419,  5.34551768, -3.64623495, -3.44012268,  2.24909514,  3.7443571 ,  0.37044782,  2.54936195,  3.57864455]"
3,128,123632.23274630215,23520111,DE,"[-3.63613353, -2.39610959,  1.14785078,  1.95485106, -5.        , -0.46642305, -3.21579601,  3.40117512, -1.89714343,  2.10026736]"
4,160,123632.23274630215,23520111,DE,"[-3.63613353, -2.39610959,  1.14785078,  1.95485106, -5.        , -0.46642305, -3.21579601,  3.40117512, -1.89714343,  2.10026736]"
5,192,123632.23274630215,23520111,DE,"[-3.63613353, -2.39610959,  1.14785078,  1.95485106, -5.        , -0.46642305, -3.21579601,  3.40117512, -1.89714343,  2.10026736]"
6,224,101561.41635078118,23520111,DE,"[ 3.50628709, -2.39395897, -1.04231959, -2.86485691, -5.        ,  2.72633462,  2.61485657,  0.76496237,  2.76918776,  9.13744129]"
7,256,101561.41635078118,23520111,DE,"[ 3.50628709, -2.39395897, -1.04231959, -2.86485691, -5.        ,  2.72633462,  2.61485657,  0.76496237,  2.76918776,  9.13744129]"
8,288,101561.41635078118,23520111,DE,"[ 3.50628709, -2.39395897, -1.04231959, -2.86485691, -5.        ,  2.72633462,  2.61485657,  0.76496237,  2.76918776,  9.13744129]"
9,320,76693.81283057478,23520111,DE,"[ 0.58467139,  0.10275248,  0.62814155,  1.74837255, -2.10847066,  1.42768251, -0.25745938, -1.88307905,  5.4442869 ,  2.88595354]"
10,352,76693.81283057478,23520111,DE,"[ 0.58467139,  0.10275248,  0.62814155,  1.74837255, -2.10847066,  1.42768251, -0.25745938, -1.88307905,  5.4442869 ,  2.88595354]"
11,384,76693.81283057478,23520111,DE,"[ 0.58467139,  0.10275248,  0.62814155,  1.74837255, -2.10847066,  1.42768251, -0.25745938, -1.88307905,  5.4442869 ,  2.88595354]"
12,416,76693.81283057478,23520111,DE,"[ 0.58467139,  0.10275248,  0.62814155,  1.74837255, -2.10847066,  1.42768251, -0.25745938, -1.88307905,  5.4442869 ,  2.88595354]"
13,448,76693.81283057478,23520111,DE,"[ 0.58467139,  0.10275248,  0.62814155,  1.74837255, -2.10847066,  1.42768251, -0.25745938, -1.88307905,  5.4442869 ,  2.88595354]"
14,480,76693.81283057478,23520111,DE,"[ 0.58467139,  0.10275248,  0.62814155,  1.74837255, -2.10847066,  1.42768251, -0.25745938, -1.88307905,  5.4442869 ,  2.88595354]"
15,512,51238.356712431894,23520111,DE,"[ 0.71782843, -2.35776311,  0.50131005, -2.67489722,  0.3444314 , -2.39400385, -3.54198139, -2.03641812, -0.13664544, 10.        ]"
16,544,36184.90254793205,23520111,DE,"[-3.01177912, -1.77081377,  3.30565299,  1.95485106,  0.33945905,  1.01433533, -3.21579601,  0.3265323 ,  1.98453552,  9.27734514]"
17,576,36184.90254793205,23520111,DE,"[-3.01177912, -1.77081377,  3.30565299,  1.95485106,  0.33945905,  1.01433533, -3.21579601,  0.3265323 ,  1.98453552,  9.27734514]"
