Generation,Num_of_evaluations,Objective_value_fitness_best_i,Random_Seed,Algorithm,Best_Solution
0,64,104.33823663997872,23520111,DE,"[ 0.16039557, -1.32544087, -0.86949462,  0.89309185, -1.08749746,  2.83364403, -1.70473214,  0.40723421, -0.86294793,  3.78211852]"
1,128,104.33823663997872,23520111,DE,"[ 0.16039557, -1.32544087, -0.86949462,  0.89309185, -1.08749746,  2.83364403, -1.70473214,  0.40723421, -0.86294793,  3.78211852]"
2,192,104.33823663997872,23520111,DE,"[ 0.16039557, -1.32544087, -0.86949462,  0.89309185, -1.08749746,  2.83364403, -1.70473214,  0.40723421, -0.86294793,  3.78211852]"
3,256,104.33823663997872,23520111,DE,"[ 0.16039557, -1.32544087, -0.86949462,  0.89309185, -1.08749746,  2.83364403, -1.70473214,  0.40723421, -0.86294793,  3.78211852]"
4,320,104.33823663997872,23520111,DE,"[ 0.16039557, -1.32544087, -0.86949462,  0.89309185, -1.08749746,  2.83364403, -1.70473214,  0.40723421, -0.86294793,  3.78211852]"
5,384,104.33823663997872,23520111,DE,"[ 0.16039557, -1.32544087, -0.86949462,  0.89309185, -1.08749746,  2.83364403, -1.70473214,  0.40723421, -0.86294793,  3.78211852]"
6,448,104.33823663997872,23520111,DE,"[ 0.16039557, -1.32544087, -0.86949462,  0.89309185, -1.08749746,  2.83364403, -1.70473214,  0.40723421, -0.86294793,  3.78211852]"
7,512,104.33823663997872,23520111,DE,"[ 0.16039557, -1.32544087, -0.86949462,  0.89309185, -1.08749746,  2.83364403, -1.70473214,  0.40723421, -0.86294793,  3.78211852]"
8,576,104.33823663997872,23520111,DE,"[ 0.16039557, -1.32544087, -0.86949462,  0.89309185, -1.08749746,  2.83364403, -1.70473214,  0.40723421, -0.86294793,  3.78211852]"
9,640,104.33823663997872,23520111,DE,"[ 0.16039557, -1.32544087, -0.86949462,  0.89309185, -1.08749746,  2.83364403, -1.70473214,  0.40723421, -0.86294793,  3.78211852]"
10,704,104.33823663997872,23520111,DE,"[ 0.16039557, -1.32544087, -0.86949462,  0.89309185, -1.08749746,  2.83364403, -1.70473214,  0.40723421, -0.86294793,  3.78211852]"
11,768,104.33823663997872,23520111,DE,"[ 0.16039557, -1.32544087, -0.86949462,  0.89309185, -1.08749746,  2.83364403, -1.70473214,  0.40723421, -0.86294793,  3.78211852]"
12,832,104.33823663997872,23520111,DE,"[ 0.16039557, -1.32544087, -0.86949462,  0.89309185, -1.08749746,  2.83364403, -1.70473214,  0.40723421, -0.86294793,  3.78211852]"
13,896,97.7846147272702,23520111,DE,"[-0.05709096, -2.85119014, -0.20176686, -0.04511108, -1.64698422, -1.44408265,  0.02046459, -2.00327784,  5.12      , -1.12631787]"
14,960,97.7846147272702,23520111,DE,"[-0.05709096, -2.85119014, -0.20176686, -0.04511108, -1.64698422, -1.44408265,  0.02046459, -2.00327784,  5.12      , -1.12631787]"
15,1024,87.84086055831965,23520111,DE,"[-1.11837296,  0.98262835,  0.08773166,  4.89184924,  1.07756618, -2.76973747,  1.36088716,  0.72028695, -0.16065589, -0.96453492]"
16,1088,87.84086055831965,23520111,DE,"[-1.11837296,  0.98262835,  0.08773166,  4.89184924,  1.07756618, -2.76973747,  1.36088716,  0.72028695, -0.16065589, -0.96453492]"
17,1152,87.84086055831965,23520111,DE,"[-1.11837296,  0.98262835,  0.08773166,  4.89184924,  1.07756618, -2.76973747,  1.36088716,  0.72028695, -0.16065589, -0.96453492]"
18,1216,87.84086055831965,23520111,DE,"[-1.11837296,  0.98262835,  0.08773166,  4.89184924,  1.07756618, -2.76973747,  1.36088716,  0.72028695, -0.16065589, -0.96453492]"
19,1280,87.84086055831965,23520111,DE,"[-1.11837296,  0.98262835,  0.08773166,  4.89184924,  1.07756618, -2.76973747,  1.36088716,  0.72028695, -0.16065589, -0.96453492]"
20,1344,87.84086055831965,23520111,DE,"[-1.11837296,  0.98262835,  0.08773166,  4.89184924,  1.07756618, -2.76973747,  1.36088716,  0.72028695, -0.16065589, -0.96453492]"
21,1408,87.84086055831965,23520111,DE,"[-1.11837296,  0.98262835,  0.08773166,  4.89184924,  1.07756618, -2.76973747,  1.36088716,  0.72028695, -0.16065589, -0.96453492]"
22,1472,87.84086055831965,23520111,DE,"[-1.11837296,  0.98262835,  0.08773166,  4.89184924,  1.07756618, -2.76973747,  1.36088716,  0.72028695, -0.16065589, -0.96453492]"
23,1536,87.84086055831965,23520111,DE,"[-1.11837296,  0.98262835,  0.08773166,  4.89184924,  1.07756618, -2.76973747,  1.36088716,  0.72028695, -0.16065589, -0.96453492]"
24,1600,87.84086055831965,23520111,DE,"[-1.11837296,  0.98262835,  0.08773166,  4.89184924,  1.07756618, -2.76973747,  1.36088716,  0.72028695, -0.16065589, -0.96453492]"
25,1664,87.84086055831965,23520111,DE,"[-1.11837296,  0.98262835,  0.08773166,  4.89184924,  1.07756618, -2.76973747,  1.36088716,  0.72028695, -0.16065589, -0.96453492]"
26,1728,87.84086055831965,23520111,DE,"[-1.11837296,  0.98262835,  0.08773166,  4.89184924,  1.07756618, -2.76973747,  1.36088716,  0.72028695, -0.16065589, -0.96453492]"
27,1792,87.84086055831965,23520111,DE,"[-1.11837296,  0.98262835,  0.08773166,  4.89184924,  1.07756618, -2.76973747,  1.36088716,  0.72028695, -0.16065589, -0.96453492]"
28,1856,87.84086055831965,23520111,DE,"[-1.11837296,  0.98262835,  0.08773166,  4.89184924,  1.07756618, -2.76973747,  1.36088716,  0.72028695, -0.16065589, -0.96453492]"
29,1920,87.84086055831965,23520111,DE,"[-1.11837296,  0.98262835,  0.08773166,  4.89184924,  1.07756618, -2.76973747,  1.36088716,  0.72028695, -0.16065589, -0.96453492]"
30,1984,87.84086055831965,23520111,DE,"[-1.11837296,  0.98262835,  0.08773166,  4.89184924,  1.07756618, -2.76973747,  1.36088716,  0.72028695, -0.16065589, -0.96453492]"
31,2048,86.07552265891194,23520111,DE,"[-1.91111678,  1.81432299,  0.98544023, -0.04852253, -1.37729785, -0.99921287, -1.75465835, -0.97265999, -1.85754182,  5.12      ]"
32,2112,86.07552265891194,23520111,DE,"[-1.91111678,  1.81432299,  0.98544023, -0.04852253, -1.37729785, -0.99921287, -1.75465835, -0.97265999, -1.85754182,  5.12      ]"
33,2176,86.07552265891194,23520111,DE,"[-1.91111678,  1.81432299,  0.98544023, -0.04852253, -1.37729785, -0.99921287, -1.75465835, -0.97265999, -1.85754182,  5.12      ]"
34,2240,86.07552265891194,23520111,DE,"[-1.91111678,  1.81432299,  0.98544023, -0.04852253, -1.37729785, -0.99921287, -1.75465835, -0.97265999, -1.85754182,  5.12      ]"
35,2304,86.07552265891194,23520111,DE,"[-1.91111678,  1.81432299,  0.98544023, -0.04852253, -1.37729785, -0.99921287, -1.75465835, -0.97265999, -1.85754182,  5.12      ]"
36,2368,86.07552265891194,23520111,DE,"[-1.91111678,  1.81432299,  0.98544023, -0.04852253, -1.37729785, -0.99921287, -1.75465835, -0.97265999, -1.85754182,  5.12      ]"
37,2432,86.07552265891194,23520111,DE,"[-1.91111678,  1.81432299,  0.98544023, -0.04852253, -1.37729785, -0.99921287, -1.75465835, -0.97265999, -1.85754182,  5.12      ]"
38,2496,86.07552265891194,23520111,DE,"[-1.91111678,  1.81432299,  0.98544023, -0.04852253, -1.37729785, -0.99921287, -1.75465835, -0.97265999, -1.85754182,  5.12      ]"
39,2560,86.07552265891194,23520111,DE,"[-1.91111678,  1.81432299,  0.98544023, -0.04852253, -1.37729785, -0.99921287, -1.75465835, -0.97265999, -1.85754182,  5.12      ]"
40,2624,86.07552265891194,23520111,DE,"[-1.91111678,  1.81432299,  0.98544023, -0.04852253, -1.37729785, -0.99921287, -1.75465835, -0.97265999, -1.85754182,  5.12      ]"
41,2688,86.07552265891194,23520111,DE,"[-1.91111678,  1.81432299,  0.98544023, -0.04852253, -1.37729785, -0.99921287, -1.75465835, -0.97265999, -1.85754182,  5.12      ]"
42,2752,86.07552265891194,23520111,DE,"[-1.91111678,  1.81432299,  0.98544023, -0.04852253, -1.37729785, -0.99921287, -1.75465835, -0.97265999, -1.85754182,  5.12      ]"
43,2816,86.07552265891194,23520111,DE,"[-1.91111678,  1.81432299,  0.98544023, -0.04852253, -1.37729785, -0.99921287, -1.75465835, -0.97265999, -1.85754182,  5.12      ]"
