Generation,Num_of_evaluations,Objective_value_fitness_best_i,Random_Seed,Algorithm,Best_Solution
0,64,0.9135772049018167,23520108,CEM,"[0.65071537, 0.70010479]"
1,128,0.6862038081210076,23520108,CEM,"[0.79306379, 0.23927733]"
2,192,0.213159546028243,23520108,CEM,"[-0.34575663,  0.30596062]"
3,256,0.10635787484442207,23520108,CEM,"[ 0.3214981 , -0.05474349]"
4,320,0.10635787484442207,23520108,CEM,"[ 0.3214981 , -0.05474349]"
5,384,0.0785588313050681,23520108,CEM,"[-0.27866603,  0.03006785]"
6,448,0.0785588313050681,23520108,CEM,"[-0.27866603,  0.03006785]"
7,512,0.027094744443118338,23520108,CEM,"[0.136643  , 0.09177927]"
8,576,0.027094744443118338,23520108,CEM,"[0.136643  , 0.09177927]"
9,640,0.0122115301363948,23520108,CEM,"[ 0.10490415, -0.03473686]"
10,704,0.00853562461899872,23520108,CEM,"[-0.01671685, -0.09086348]"
11,768,0.00853562461899872,23520108,CEM,"[-0.01671685, -0.09086348]"
12,832,0.00853562461899872,23520108,CEM,"[-0.01671685, -0.09086348]"
13,896,0.00853562461899872,23520108,CEM,"[-0.01671685, -0.09086348]"
14,960,0.0020282331171956602,23520108,CEM,"[-0.04502514, -0.00098494]"
15,1024,0.0020282331171956602,23520108,CEM,"[-0.04502514, -0.00098494]"
16,1088,0.0007760513330041,23520108,CEM,"[0.01367163, 0.02427216]"
17,1152,0.0007760513330041,23520108,CEM,"[0.01367163, 0.02427216]"
18,1216,0.0007760513330041,23520108,CEM,"[0.01367163, 0.02427216]"
19,1280,0.0007760513330041,23520108,CEM,"[0.01367163, 0.02427216]"
20,1344,0.0007760513330041,23520108,CEM,"[0.01367163, 0.02427216]"
21,1408,0.0007760513330041,23520108,CEM,"[0.01367163, 0.02427216]"
22,1472,0.0007760513330041,23520108,CEM,"[0.01367163, 0.02427216]"
23,1536,0.0007760513330041,23520108,CEM,"[0.01367163, 0.02427216]"
24,1600,0.000695116093939926,23520108,CEM,"[-0.02023705, -0.01689904]"
25,1664,0.000695116093939926,23520108,CEM,"[-0.02023705, -0.01689904]"
26,1728,0.0006412872464793657,23520108,CEM,"[ 0.0166221 , -0.01910479]"
27,1792,0.0001370322287519895,23520108,CEM,"[ 0.00358233, -0.01114447]"
28,1856,0.0001370322287519895,23520108,CEM,"[ 0.00358233, -0.01114447]"
29,1920,0.0001370322287519895,23520108,CEM,"[ 0.00358233, -0.01114447]"
30,1984,1.9541174753860103e-06,23520108,CEM,"[ 0.00055784, -0.00128177]"
31,2000,1.9541174753860103e-06,23520108,CEM,"[ 0.00055784, -0.00128177]"
