Generation,Num_of_evaluations,Objective_value_fitness_best_i,Random_Seed,Algorithm,Best_Solution
0,8,20.674473709042086,23520112,CEM,"[-28.84411755,  17.07470567,   4.16603071,  -7.14516821, -12.41967778,  -6.69438526,  11.29625367,  -0.68526305,  13.08351723,  29.85572645]"
1,16,20.674473709042086,23520112,CEM,"[-28.84411755,  17.07470567,   4.16603071,  -7.14516821, -12.41967778,  -6.69438526,  11.29625367,  -0.68526305,  13.08351723,  29.85572645]"
2,24,20.521953597476116,23520112,CEM,"[ -5.47599029,  12.79629088, -20.09006243,  -5.44566617,  10.0766799 ,  -2.4871105 ,   5.45696151,  24.00679004,   6.9869613 ,  22.44915557]"
3,32,20.38178909713373,23520112,CEM,"[-12.12852997,  14.58720403, -10.97818571,  17.00227548, -12.93813234,  13.01866277,  10.47635764,   8.94393763,  32.        ,  26.13149837]"
4,40,20.38178909713373,23520112,CEM,"[-12.12852997,  14.58720403, -10.97818571,  17.00227548, -12.93813234,  13.01866277,  10.47635764,   8.94393763,  32.        ,  26.13149837]"
5,48,20.316202823995912,23520112,CEM,"[-32.        ,  13.88608516, -11.56026655,  -4.16957714, -10.04026904,   1.47566033, -10.2529803 ,  13.84550807,   4.7241939 ,  17.09093526]"
6,56,20.219887950244832,23520112,CEM,"[-13.20254556,  26.05282298,   4.22111203,   6.54596541,   3.76655568,  -0.0377517 ,  -8.02328468,  14.95570256,   7.64112416,  24.531483  ]"
7,64,20.13471147030204,23520112,CEM,"[-17.17483969,  22.5588065 ,  -7.94955584,   5.84321179,  10.08801385,  -5.60677369,   9.13958053,  18.32600578,  12.03684579,  18.13301624]"
8,72,20.13471147030204,23520112,CEM,"[-17.17483969,  22.5588065 ,  -7.94955584,   5.84321179,  10.08801385,  -5.60677369,   9.13958053,  18.32600578,  12.03684579,  18.13301624]"
9,80,19.76114779491252,23520112,CEM,"[ -7.62506341,  10.04559731, -15.79825902,   3.90941393,   1.20876775,  -0.66325145, -14.96575525,  25.95608221,  15.94154182,  -4.56586202]"
10,88,19.32539483725632,23520112,CEM,"[-13.7648951 ,  10.17840055, -14.49112332,   5.29801567,   7.71619765,  -6.54183734,   1.1520115 ,   9.66711126,   5.13062784,  19.04566604]"
11,96,19.32539483725632,23520112,CEM,"[-13.7648951 ,  10.17840055, -14.49112332,   5.29801567,   7.71619765,  -6.54183734,   1.1520115 ,   9.66711126,   5.13062784,  19.04566604]"
12,104,19.18162544813293,23520112,CEM,"[-17.85112043,  14.89291057,  -0.86487992,  -0.47724321,   1.49828779,  -3.95240651, -15.00162288,  20.10755027,  -3.39118402,  -4.99447852]"
13,112,19.18162544813293,23520112,CEM,"[-17.85112043,  14.89291057,  -0.86487992,  -0.47724321,   1.49828779,  -3.95240651, -15.00162288,  20.10755027,  -3.39118402,  -4.99447852]"
14,120,18.85377338387334,23520112,CEM,"[ -7.29342255,  11.7427263 , -14.63909514,  -1.17552722,   5.60691998,  -3.95742915,  -4.54125305,  14.4204055 ,   5.01570513,  13.67052401]"
15,128,18.304835855817007,23520112,CEM,"[ -5.96008567,   9.0788621 , -10.97079685,   7.64402427,  -2.84678987,  -0.14845135,  -3.4829838 ,  16.43536102,  13.54253695,   7.08428089]"
16,136,18.098392686973234,23520112,CEM,"[-7.89172773, 12.0745459 , -6.55172211,  6.5574476 ,  0.25410376, -4.43533392, -2.32175779, 17.06803314,  9.09126173,  4.57643992]"
17,144,18.098392686973234,23520112,CEM,"[-7.89172773, 12.0745459 , -6.55172211,  6.5574476 ,  0.25410376, -4.43533392, -2.32175779, 17.06803314,  9.09126173,  4.57643992]"
18,152,18.098392686973234,23520112,CEM,"[-7.89172773, 12.0745459 , -6.55172211,  6.5574476 ,  0.25410376, -4.43533392, -2.32175779, 17.06803314,  9.09126173,  4.57643992]"
19,160,18.098392686973234,23520112,CEM,"[-7.89172773, 12.0745459 , -6.55172211,  6.5574476 ,  0.25410376, -4.43533392, -2.32175779, 17.06803314,  9.09126173,  4.57643992]"
20,168,18.098392686973234,23520112,CEM,"[-7.89172773, 12.0745459 , -6.55172211,  6.5574476 ,  0.25410376, -4.43533392, -2.32175779, 17.06803314,  9.09126173,  4.57643992]"
21,176,17.831742935048055,23520112,CEM,"[-11.12809915,  11.05112025,  -7.79372744,   4.52421198,   3.06425345,  -0.16374413,  -6.80592945,  14.32872077,   8.08871207,  10.22561592]"
22,184,17.831742935048055,23520112,CEM,"[-11.12809915,  11.05112025,  -7.79372744,   4.52421198,   3.06425345,  -0.16374413,  -6.80592945,  14.32872077,   8.08871207,  10.22561592]"
23,192,17.57822930829442,23520112,CEM,"[-10.64702061,  12.0346769 ,  -6.94143952,   6.02632705,   2.87176513,   0.56758118,  -5.07857955,  12.15506898,   5.21545307,  13.19557414]"
24,200,17.57822930829442,23520112,CEM,"[-10.64702061,  12.0346769 ,  -6.94143952,   6.02632705,   2.87176513,   0.56758118,  -5.07857955,  12.15506898,   5.21545307,  13.19557414]"
25,208,17.57822930829442,23520112,CEM,"[-10.64702061,  12.0346769 ,  -6.94143952,   6.02632705,   2.87176513,   0.56758118,  -5.07857955,  12.15506898,   5.21545307,  13.19557414]"
26,216,17.57822930829442,23520112,CEM,"[-10.64702061,  12.0346769 ,  -6.94143952,   6.02632705,   2.87176513,   0.56758118,  -5.07857955,  12.15506898,   5.21545307,  13.19557414]"
27,224,17.423916245140703,23520112,CEM,"[-8.22653297, 13.95945347, -9.12076256,  6.98773341, -1.67529184, -4.09281925, -2.15620165, 13.61909674,  7.03127483,  3.61616662]"
28,232,17.423916245140703,23520112,CEM,"[-8.22653297, 13.95945347, -9.12076256,  6.98773341, -1.67529184, -4.09281925, -2.15620165, 13.61909674,  7.03127483,  3.61616662]"
29,240,17.423916245140703,23520112,CEM,"[-8.22653297, 13.95945347, -9.12076256,  6.98773341, -1.67529184, -4.09281925, -2.15620165, 13.61909674,  7.03127483,  3.61616662]"
30,248,17.423916245140703,23520112,CEM,"[-8.22653297, 13.95945347, -9.12076256,  6.98773341, -1.67529184, -4.09281925, -2.15620165, 13.61909674,  7.03127483,  3.61616662]"
31,256,17.423916245140703,23520112,CEM,"[-8.22653297, 13.95945347, -9.12076256,  6.98773341, -1.67529184, -4.09281925, -2.15620165, 13.61909674,  7.03127483,  3.61616662]"
32,264,17.423916245140703,23520112,CEM,"[-8.22653297, 13.95945347, -9.12076256,  6.98773341, -1.67529184, -4.09281925, -2.15620165, 13.61909674,  7.03127483,  3.61616662]"
33,272,17.423916245140703,23520112,CEM,"[-8.22653297, 13.95945347, -9.12076256,  6.98773341, -1.67529184, -4.09281925, -2.15620165, 13.61909674,  7.03127483,  3.61616662]"
34,280,17.30911421629416,23520112,CEM,"[-10.94644281,  14.01305734,  -7.00793488,   6.31277356,  -0.24982419,  -3.0699236 ,  -2.75653962,  13.91625476,   7.28163141,   4.86803867]"
35,288,17.30911421629416,23520112,CEM,"[-10.94644281,  14.01305734,  -7.00793488,   6.31277356,  -0.24982419,  -3.0699236 ,  -2.75653962,  13.91625476,   7.28163141,   4.86803867]"
36,296,17.295492018589627,23520112,CEM,"[-10.32473711,  12.82407394,  -7.06588639,   6.03621882,   0.94712191,  -2.05375225,  -3.90835549,  12.74407784,   7.90479488,   8.4836665 ]"
37,304,17.079449081368942,23520112,CEM,"[-10.35734488,  13.06771252,  -6.83208885,   6.08605524,   0.16055773,  -2.82894462,  -3.77236767,  13.07938658,   9.01703246,   5.96821696]"
38,312,17.079449081368942,23520112,CEM,"[-10.35734488,  13.06771252,  -6.83208885,   6.08605524,   0.16055773,  -2.82894462,  -3.77236767,  13.07938658,   9.01703246,   5.96821696]"
39,320,17.079449081368942,23520112,CEM,"[-10.35734488,  13.06771252,  -6.83208885,   6.08605524,   0.16055773,  -2.82894462,  -3.77236767,  13.07938658,   9.01703246,   5.96821696]"
40,328,17.079449081368942,23520112,CEM,"[-10.35734488,  13.06771252,  -6.83208885,   6.08605524,   0.16055773,  -2.82894462,  -3.77236767,  13.07938658,   9.01703246,   5.96821696]"
41,336,17.079449081368942,23520112,CEM,"[-10.35734488,  13.06771252,  -6.83208885,   6.08605524,   0.16055773,  -2.82894462,  -3.77236767,  13.07938658,   9.01703246,   5.96821696]"
42,344,17.079449081368942,23520112,CEM,"[-10.35734488,  13.06771252,  -6.83208885,   6.08605524,   0.16055773,  -2.82894462,  -3.77236767,  13.07938658,   9.01703246,   5.96821696]"
